職場の様子,休日休暇(月曜日),（派遣先）配属先部署　男女比　男,大手企業,交通費別途支給,（派遣先）配属先部署　人数,残業月20時間以上,職種コード,1日7時間以下勤務OK,短時間勤務OK(1日4h以内),駅から徒歩5分以内,学校・公的機関（官公庁）,土日祝のみ勤務,掲載期間　開始日,Wordのスキルを活かす,勤務地　最寄駅1（分）,派遣スタッフ活躍中,大量募集,Accessのスキルを活かす,休日休暇(火曜日),平日休みあり,休日休暇　備考,フラグオプション選択,期間・時間　勤務時間,期間・時間　勤務期間,派遣形態,週2・3日OK,勤務先公開,Excelのスキルを活かす,16時前退社OK,正社員登用あり,残業月20時間未満,勤務地　備考,英語力不要,拠点番号,休日休暇(日曜日),社員食堂あり,お仕事名,10時以降出社OK,期間・時間　勤務開始日,英語以外の語学力を活かす,休日休暇(祝日),外資系企業,服装自由,PowerPointのスキルを活かす,（派遣先）配属先部署,（派遣先）配属先部署　男女比　女,仕事内容,休日休暇(土曜日),休日休暇(木曜日),勤務地　最寄駅1（沿線名）,（派遣先）配属先部署　平均年齢,英語力を活かす,会社概要　業界コード,勤務地　都道府県コード,PCスキル不要,車通勤OK,制服あり,休日休暇(水曜日),仕事の仕方,勤務地　最寄駅1（駅からの交通手段）,応募資格,紹介予定派遣,シフト勤務,経験者優遇,週4日勤務,未経験OK,派遣会社のうれしい特典,土日祝休み,給与/交通費　交通費,掲載期間　終了日,休日休暇(金曜日),お仕事のポイント（仕事PR）,扶養控除内,給与/交通費　給与下限,オフィスが禁煙・分煙,勤務地　市区町村コード,（派遣先）職場の雰囲気,勤務地　最寄駅1（駅名）,給与/交通費　備考,残業なし
3,0,6.0,0,0,12.0,0,22010,1,0,1,1,0,0,1,3.0,1,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,4.0,0,1,0,0,45.0,0,30000,13,0,0,0,0,2,1.0,0,0,0,1,0,1,0,1,3,0,0,0,0,1550,1,121,0,0,195300.0,1
3,0,2.0,1,0,33.0,0,20020,1,0,1,0,0,0,1,1.0,1,0,0,0,0,1,3,1,5,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,8.0,1,1,0,0,45.0,0,28000,13,0,0,0,0,1,1.0,1,1,0,1,0,0,0,1,3,0,0,1,0,1800,1,101,1,1,264600.0,1
3,0,2.0,1,0,33.0,0,20020,1,0,1,0,0,0,1,1.0,1,0,0,0,0,1,3,1,5,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,8.0,1,1,0,0,45.0,0,28000,13,0,0,0,0,1,1.0,1,1,0,1,0,0,0,1,3,0,0,1,0,1800,1,101,1,1,264600.0,1
2,0,8.0,0,0,5.0,1,20020,0,0,0,1,0,0,1,6.0,0,0,0,0,0,1,3,2,5,1,0,0,1,0,1,0,2,1,0,1,0,2,0,1,0,1,0,1,0,2,2.0,2,1,0,1,42.0,0,30000,13,0,0,0,0,1,1.0,2,1,0,1,0,1,0,1,3,0,0,2,0,1650,1,102,2,2,259875.0,0
2,0,8.0,0,0,5.0,1,20020,0,0,0,1,0,0,1,6.0,0,0,0,0,0,1,3,2,5,1,0,0,1,0,1,0,2,1,0,1,0,2,0,1,0,1,0,1,0,2,2.0,2,1,0,1,42.0,0,30000,13,0,0,0,0,1,1.0,2,1,0,1,0,1,0,1,3,0,0,2,0,1650,1,102,2,2,259875.0,0
3,0,8.0,1,0,22.0,0,20610,0,0,0,0,0,0,1,7.0,1,0,0,0,0,1,3,3,5,1,0,0,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,0,3,2.0,3,1,0,2,42.0,0,22000,13,0,0,0,0,4,1.0,3,1,0,1,0,1,0,1,3,0,0,3,0,1600,1,101,3,3,257600.0,1
3,0,6.0,0,0,9.0,0,22010,1,0,0,1,0,0,1,12.0,1,0,0,0,0,0,3,4,5,0,0,0,1,0,0,0,3,1,0,1,0,4,0,1,0,1,0,1,1,4,4.0,4,1,0,3,46.0,0,30000,13,0,0,0,0,2,1.0,4,0,0,1,0,1,0,1,3,0,0,4,0,1600,1,112,4,4,235200.0,1
3,0,5.0,0,0,6.0,0,22010,1,0,1,1,0,0,1,5.0,1,0,0,0,0,1,1,1,5,0,0,0,1,0,0,0,0,1,0,1,1,5,0,2,0,1,0,1,0,5,5.0,5,1,0,4,40.0,0,30000,13,0,0,0,0,3,1.0,5,0,0,1,0,1,0,1,3,0,0,5,0,1700,1,121,0,0,249900.0,1
3,0,6.0,0,0,17.0,0,20020,0,0,1,1,0,0,1,1.0,1,0,0,0,0,1,3,5,5,1,0,0,1,0,0,0,4,1,0,1,0,6,0,1,0,1,0,1,1,6,4.0,6,1,0,5,43.0,0,30000,13,0,0,0,0,3,1.0,6,1,0,1,0,1,0,1,3,0,0,6,0,1600,1,107,5,5,260400.0,1
3,0,6.0,0,0,17.0,0,20020,0,0,1,1,0,0,1,1.0,1,0,0,0,0,1,3,5,5,1,0,0,1,0,0,0,4,1,0,1,0,6,0,1,0,1,0,1,1,6,4.0,6,1,0,5,43.0,0,30000,13,0,0,0,0,3,1.0,6,1,0,1,0,1,0,1,3,0,0,6,0,1600,1,107,5,5,260400.0,1
